x_m,y_m
59.333028,147.387777
59.710946,147.387777
60.088863,147.387777
60.466780,147.387777
60.844698,147.387777
61.222615,147.387777
61.600533,147.387777
61.978450,147.387777
62.356367,147.387777
62.734285,147.387777
63.112202,147.387777
63.490119,147.387777
63.868037,147.387777
64.245954,147.387777
64.623872,147.387777
65.001789,147.387777
65.379706,147.387777
65.757624,147.387777
66.135541,147.387777
66.513458,147.387777
66.891376,147.387777
67.269293,147.387777
67.647211,147.387777
68.025128,147.387777
68.403045,147.387777
68.780963,147.387777
69.158880,147.387777
69.536797,147.387777
69.914715,147.387777
70.292632,147.387777
70.670550,147.387777
71.048467,147.009860
71.426384,147.009860
71.804302,147.009860
72.182219,146.631942
72.560136,146.631942
72.938054,146.631942
73.315971,146.254025
73.693889,146.254025
74.071806,145.876108
74.071806,145.498190
74.449723,145.120273
74.449723,144.742356
74.449723,144.364438
74.449723,143.986521
74.449723,143.608603
74.071806,143.230686
74.071806,142.852769
74.071806,142.474851
74.071806,142.096934
74.071806,141.719017
73.693889,141.341099
73.693889,140.963182
73.693889,140.585264
73.693889,140.207347
73.693889,139.829430
73.693889,139.451512
73.693889,139.073595
73.693889,138.695678
73.693889,138.317760
73.315971,137.939843
73.315971,137.561925
73.315971,137.184008
73.315971,136.806091
73.315971,136.428173
73.693889,136.050256
73.693889,135.672339
73.693889,135.294421
73.693889,134.916504
73.693889,134.538586
73.693889,134.160669
73.693889,133.782752
74.071806,133.404834
74.449723,133.026917
74.449723,132.649000
74.827641,132.271082
75.205558,131.893165
75.205558,131.515247
75.583476,131.137330
75.961393,130.759413
76.339310,130.381495
76.717228,130.381495
77.095145,130.381495
77.473062,130.381495
77.850980,130.003578
78.228897,130.003578
78.606815,130.003578
78.984732,130.003578
79.362649,130.003578
79.740567,130.003578
80.118484,130.003578
80.496401,130.003578
80.874319,130.003578
81.252236,130.003578
81.630154,130.003578
82.008071,130.003578
82.385988,130.003578
82.763906,130.003578
83.141823,130.003578
83.519740,130.003578
83.897658,130.003578
84.275575,130.003578
84.653493,130.003578
85.031410,130.003578
